red_team_p1_id,red_team_p2_id,yellow_team_p1_id,yellow_team_p2_id,red_team_goals,yellow_team_goals,red_won
2,7,6,8,6,10,false
4,5,10,15,10,9,true
10,15,4,5,8,10,false
2,7,6,8,10,7,true
6,8,2,7,8,10,false
7,15,4,14,10,1,true
4,14,7,15,5,10,false
8,13,6,14,10,9,true
2,16,7,8,10,7,true
8,13,2,10,2,10,false
5,15,4,14,9,10,false
4,14,2,10,2,10,false
1,3,6,8,10,7,true
1,7,6,8,10,1,true
1,8,6,16,10,4,true
1,12,3,16,10,3,true
3,16,1,12,3,10,false
5,11,2,10,7,10,false
1,8,2,6,10,7,true
4,11,10,15,5,10,false
10,15,4,11,10,5,true
2,10,4,15,10,8,true
1,8,6,16,10,4,true
1,7,6,8,10,9,true
2,10,8,13,10,2,true
6,8,1,7,7,10,false
2,10,4,5,10,2,true
4,5,2,10,10,4,true
7,11,6,8,6,10,false
1,7,6,8,10,1,true
7,15,1,12,6,10,false
4,14,2,10,4,10,false
6,11,2,14,10,7,true
10,11,12,14,10,5,true
12,14,10,11,4,10,false
8,11,2,16,10,9,true
6,11,2,16,8,10,false
8,12,1,6,8,10,false
1,6,8,12,10,2,true
6,17,2,10,7,10,false
1,6,2,8,10,3,true
10,18,4,14,10,7,true
4,14,10,18,8,10,false
2,6,1,7,8,10,false
4,14,8,16,10,7,true
2,13,8,16,10,7,true
8,13,12,16,6,10,false
12,16,8,13,10,9,true
2,12,6,7,10,8,true
3,16,2,8,5,10,false
2,8,3,16,10,5,true
4,5,8,10,5,10,false
2,10,17,6,5,10,false
2,7,6,8,10,6,true
6,8,2,7,7,10,false
6,8,3,16,10,8,true
6,8,16,12,9,10,false
16,12,6,8,6,10,false
10,18,2,5,4,10,false
2,5,10,18,10,5,true
1,7,6,8,5,10,false
2,16,6,8,3,10,false
12,16,6,8,3,10,false
4,5,12,17,10,7,true
12,17,4,5,6,10,false
3,16,6,7,2,10,false
6,7,3,16,8,10,false
3,16,2,12,1,10,false
2,12,3,16,10,3,true
10,17,2,18,10,1,true
10,17,15,18,10,4,true
1,3,6,8,10,8,true
1,8,2,6,10,7,true
4,10,17,5,10,7,true
1,12,15,7,6,10,false
8,4,2,10,4,10,false
17,5,4,10,10,3,true
4,10,17,5,9,10,false
1,7,6,8,10,6,true
2,8,16,6,10,5,true
12,1,8,6,8,10,false
6,17,8,4,10,6,true
2,10,11,5,10,9,true
1,12,4,8,10,7,true
12,1,8,6,10,8,true
6,8,1,12,8,10,false
8,2,16,6,8,10,false
6,16,2,8,8,10,false
12,16,6,8,10,5,true
12,16,6,8,3,10,false
2,12,11,16,10,5,true
16,11,2,12,4,10,false
2,8,6,1,10,8,true
8,3,16,12,5,10,false
10,4,5,17,6,10,false
8,4,5,11,2,10,false
6,17,11,5,9,10,false
7,1,2,6,5,10,false
11,5,6,17,10,3,true
17,5,4,2,10,7,true
2,4,17,5,9,10,false
2,12,11,5,8,10,false
12,10,17,11,10,6,true
8,11,16,3,10,8,true
8,11,3,6,10,9,true
8,6,4,5,10,6,true
8,6,4,5,10,8,true
8,6,1,7,10,9,true
8,6,16,3,9,10,false
4,18,10,5,4,10,false
1,7,8,6,10,6,true
1,7,8,6,10,8,true
1,6,10,17,10,3,true
5,4,17,12,10,9,true
1,7,11,3,10,8,true
17,11,5,4,10,3,true
17,11,5,4,4,10,false
7,1,4,5,10,5,true
1,2,8,16,10,5,true
1,2,6,8,10,4,true
3,16,8,6,10,5,true
1,6,2,11,4,10,false
1,6,3,8,10,5,true
4,10,5,17,8,10,false
4,10,5,17,10,7,true
10,4,17,5,8,10,false
17,5,10,4,10,9,true
8,1,6,16,7,10,false
8,1,6,16,10,7,true
1,19,2,6,10,5,true
1,3,6,8,10,8,true
2,12,16,8,10,7,true
6,1,2,12,10,6,true
1,6,2,17,10,7,true
17,5,4,10,9,10,false
8,3,1,4,9,10,false
10,3,1,8,8,10,false
1,8,10,5,10,9,true
19,1,12,6,10,7,true
10,4,12,5,5,10,false
2,10,5,4,10,5,true
2,6,10,4,10,9,true
12,5,11,2,10,7,true
2,11,5,12,8,10,false
10,5,2,4,8,10,false
16,11,8,7,10,7,true
16,11,8,7,10,9,true
5,17,4,10,6,10,false
3,16,4,8,1,10,false
1,19,6,7,10,7,true
2,11,10,4,10,5,true
1,7,16,2,10,7,true
2,8,19,16,10,5,true
2,8,6,1,8,10,false
4,18,5,17,1,10,false
5,17,4,18,10,5,true
4,10,5,17,6,10,false
1,7,2,6,10,9,true
6,7,2,1,6,10,false
17,11,12,4,4,10,false
